name,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster
Arsonist's Lullabye,7lpmIGFw7Kc9qIdq4cGs34,0.281,0.426,6,-9.07,0,0.0526,0.593,0.0446,0.124,0.181,177.714,0
Work Song,35PKfoynRpVFoAUE3D5Kc6,0.432,0.388,10,-7.687,1,0.1,0.776,0.0,0.112,0.256,177.549,0
Fairytale,6NgYIETQ8U72CVfkzYhK30,0.586,0.714,2,-6.414,0,0.0271,0.434,1.87e-05,0.32,0.593,107.964,3
Origo,58erMXiJBLy1URLSXguVNw,0.596,0.733,9,-6.513,0,0.15,0.479,0.0,0.29,0.375,107.862,3
Great Southern Land,3OmEIZ6bYHqlReQ1YLaRHV,0.719,0.842,9,-5.603,1,0.0284,0.252,0.000218,0.0697,0.421,120.147,5
Four Seasons In One Day,6ytBxmixhkR4PZ5wNS57dD,0.495,0.373,7,-12.132,1,0.0262,0.821,6.75e-05,0.0769,0.486,89.834,0
The Walk - Remastered Version,67xHrhdRPmr0iwt9oX6RVk,0.575,0.692,8,-6.624,0,0.0571,0.0322,9.16e-06,0.112,0.277,125.191,3
Human - Edit,7qm1JpihtROAIU1XpvqYHS,0.636,0.559,8,-10.313,1,0.0249,0.0562,0.000754,0.0562,0.512,101.4,5
Chameleon,71xBBa1fydRkvDpx6pUumx,0.563,0.938,4,-3.194,1,0.0649,0.002,0.000377,0.314,0.196,119.857,6
You've Got Time,1vDMGBzqLJWZC5UzePDURw,0.321,0.955,10,-2.749,0,0.146,0.00464,0.00897,0.269,0.331,167.467,6
Love Is A Stranger - Remastered Version,2jItmTTkIL6SkvABXsTaYT,0.781,0.648,5,-8.216,1,0.0264,0.00761,0.0,0.132,0.546,121.93,5
SING,1mX6SYJ1ZpcoxQUiER8wOI,0.606,0.942,2,-3.618,1,0.0357,0.000233,7.07e-06,0.106,0.373,110.98,5
I've Got An Angel - Remastered Version,4ptZtGRf730xEEBtmmt1dh,0.679,0.902,0,-8.395,1,0.119,0.015,0.00534,0.052,0.627,107.043,5
Chompy's Paradise,61EV24btdMJbACOq9mp2qT,0.472,0.472,3,-9.547,1,0.0322,0.507,0.945,0.127,0.111,114.471,2
Wrap It Up - Remastered Version,478MUVateeBsNeJlUAMU6V,0.732,0.745,0,-8.111,1,0.0772,0.0218,4.35e-05,0.666,0.806,130.478,1
I Could Give You (A Mirror) - Remastered Version,3tj2nDUnWlvmArKqzsdTDb,0.668,0.533,5,-11.124,0,0.0406,0.0142,1.07e-06,0.412,0.87,131.939,3
Jennifer - Remastered Version,3fQWooU0XvlM8dx6ueryFf,0.657,0.487,5,-12.23,0,0.0304,0.0121,0.432,0.482,0.152,121.111,2
This Is The House - Remastered Version,1jMVFrhcumqrnpwHFmKfdw,0.769,0.891,11,-7.56,1,0.0463,0.106,0.078,0.157,0.929,132.088,5
Redbone,0wXuerDYiBnERgIpbb3JBR,0.743,0.347,1,-11.174,1,0.121,0.167,0.00951,0.103,0.572,160.143,5
Somebody Told Me - Remastered Version,0mbp865lIuiqKQRSD4tASg,0.677,0.636,5,-12.043,0,0.403,0.00725,0.000329,0.266,0.697,77.931,4
Home Is Where the Heart Is - Remastered Version,6ScKOctGM2r8joAox3mzZc,0.796,0.575,0,-12.234,1,0.0841,0.096,0.00102,0.183,0.939,160.747,5
Baby's Gone Blue - Remastered Version,6GSUzpXqFpzsvxUAGK4ALl,0.727,0.93,0,-6.633,1,0.0821,0.00357,0.574,0.423,0.343,120.773,2
Sweet Dreams (Are Made of This) - Hot Remix / Remastered Version,0imYRG0WKxUOOcqBu3VX10,0.746,0.928,8,-3.881,1,0.0433,0.0302,0.000244,0.104,0.827,125.508,5
Satellite Of Love - Remastered Version,4ZA3wwFbr5Thu8b1OvcKUB,0.225,0.615,0,-10.514,1,0.067,0.00384,0.0,0.169,0.117,151.664,6
2012 (If the World Would End) - Radio Mix,55yWXzQRjFqKea0mgxY0K7,0.737,0.846,9,-5.416,1,0.103,0.115,0.0,0.0946,0.399,127.972,5
Gravity,0KorbxavM6fFgvWaka7uvL,0.59,0.727,10,-6.63,0,0.0851,0.0397,0.0,0.107,0.721,74.997,3
I'm in Love with the DJ - Video Edit,28RdThMSFd47q0O7O4khUA,0.711,0.752,6,-5.745,0,0.071,0.00615,7.24e-06,0.0564,0.619,127.947,3
Hello Romance - DJ Antoine vs Mad Mark 2K13 Radio Edit,0lFHzvTl4yUniUPR5gpIGT,0.609,0.743,0,-4.868,1,0.0586,0.119,1.38e-06,0.145,0.605,127.979,5
Fireflies,3DamFFqW32WihKkTVlwTYQ,0.512,0.662,3,-6.797,1,0.0439,0.0275,0.0,0.118,0.472,180.114,6
Preacher,5ESl7nKS7eZDMkH4hfXY7r,0.485,0.692,1,-4.347,1,0.0278,0.0919,1.03e-06,0.67,0.316,139.975,1
Tubthumping,0l290M6IGsXF14SBTPNtxw,0.394,0.944,2,-8.082,1,0.181,0.0906,0.0,0.473,0.616,207.686,6
Mr. Brightside,003vvx7Niy0yvhvHt4a68B,0.352,0.911,1,-5.23,1,0.0747,0.00121,0.0,0.0995,0.236,148.033,6
Let's Go (feat. Ne-Yo),4wkQmYpAaMe41Rc3sYZ7Vz,0.71,0.882,4,-2.932,0,0.0595,0.00777,0.00771,0.294,0.875,128.016,3
